track_title;track_n;album;year;lyric
The Ballad of Frankie Lee and Judas Priest;5;John Wesley Harding;1967;Well, Frankie Lee and Judas Priest They were the best of friends So when Frankie Lee needed money one day Judas quickly pulled out a roll of tens And placed them on a footstool Just above the plotted plain Sayin', “Take your pick, Frankie Boy My loss will be your gain” Well, Frankie Lee, he sat right down And put his fingers to his chin But with the cold eyes of Judas on him His head began to spin “Could ya please not stare at me like that?,” he said “It's just my foolish pride But sometimes a man must be alone And this is no place to hide” Well, Judas, he just winked and said “Alright, I'll leave you here But you'd better hurry up and choose which of those bills you want Before they all disappear”“I'm gonna start my pickin' right now Just tell me where you'll be” Judas pointed down the road And said, “Eternity!” “Eternity?” said Frankie Lee With a voice as cold as ice “That's right,” said Judas, “Eternity Though you might call it ‘Paradise'” “I don't call it anything” Said Frankie Lee with a smile “All right,” said Judas Priest “I'll see you after a while” Well, Frankie Lee, he sat back down Feeling low and mean When just then a passin' stranger Burst upon the scene Saying, “Are you Frankie Lee, the gambler Whose father's deceased? Well, if you are, there's a fellow callin' you down the road And they say his name is Priest” “Oh, yes, he is my friend” Said Frankie Lee in fright “I do recall him very well In fact, he just left my sight” “Yes, that's the one,” said the stranger As quiet as a mouse “Well, my message is, he's down the road Stranded in a house” Well, Frankie Lee, he panicked He dropped everything and ran Until he came up to the spot Where Judas Priest did stand “What kind of house is this,” he said “Where I have come to roam?” “It's not a house,” says Judas Priest “It's not a house, it's a home” Well, Frankie Lee, he trembled He soon lost all control Over ev'rything which he had made While the mission bells did toll He just stood there staring At that big house as bright as any sun With four and twenty windows And a woman's face in ev'ry one Well, up the stairs ran Frankie Lee With a soulful, bounding leap And, foaming at the mouth He began to make his midnight creep For sixteen nights and days he raved But on the seventeenth he burst Into the arms of Judas Priest Which is where he died of thirst No one tried to say a thing When they carried him out in jest Except, of course, the little neighbor boy Who carried him to rest And he just walked along, alone With his guilt so well concealed And muttered underneath his breath “Nothing is revealed” Well, the moral of this story The moral of this song Is simply that one should never be Where one does not belong So when you see your neighbor carrying somethin' Help him with his load And don't go mistaking Paradise For that home across the road
Drifter's Escape;6;John Wesley Harding;1967;“Oh, help me in my weakness” I heard the drifter say As they carried him from the courtroom And were taking him away“My trip hasn't been a pleasant one And my time it isn't long And I still do not know What it was that I've done wrong” Well, the judge, he cast his robe aside A tear came to his eye “You fail to understand,” he said “Why must you even try?” Outside, the crowd was stirring You could hear it from the door Inside, the judge was stepping down While the jury cried for more “Oh, stop that cursed jury” Cried the attendant and the nurse “The trial was bad enough But this is ten times worse” Just then a bolt of lightning Struck the courthouse out of shape And while ev'rybody knelt to pray The drifter did escape
Dear Landlord;7;John Wesley Harding;1967;Dear landlord Please don't put a price on my soul My burden is heavy My dreams are beyond control When that steamboat whistle blows I'm gonna give you all I got to give And I do hope you receive it well Depending on the way you feel that you live Dear landlord Please heed these words that I speak I know you've suffered much But in this you are not so unique All of us, at times, we might work too hard To have it too fast and too much And anyone can fill his life up With things he can see but he just cannot touch Dear landlord Please don't dismiss my case I'm not about to argue I'm not about to move to no other place Now, each of us has his own special gift And you know this was meant to be true And if you don't underestimate me I won't underestimate you
I Am a Lonesome Hobo;8;John Wesley Harding;1967;I am a lonesome hobo Without family or friends Where another man's life might begin That's exactly where mine ends I have tried my hand at bribery Blackmail and deceit And I've served time for everything 'Cept beggin' on the street Well, once I was rather prosperous There was nothing I did lack I had fourteen-karat gold in my mouth And silk upon my back But I did not trust my brother I carried him to blame Which led me to my fatal doom To wander off in shame Kind ladies and kind gentlemen Soon I will be gone But let me just warn you all Before I do pass on Stay free from petty jealousies Live by no man's code And hold your judgment for yourself Lest you wind up on this road
I Pity the Poor Immigrant;9;John Wesley Harding;1967;I pity the poor immigrant Who wishes he would've stayed home Who uses all his power to do evil But in the end is always left so alone That man whom with his fingers cheats And who lies with every breath Who passionately hates his life And likewise, fears his death I pity the poor immigrant Whose strength is spent in vain Whose heaven is like Ironsides Whose tears are like rain Who eats but is not satisfied Who hears but does not see Who falls in love with wealth itself And turns his back on me I pity the poor immigrant Who tramples through the mud Who fills his mouth with laughing And who builds his town with blood Whose visions in the final end Must shatter like the glass I pity the poor immigrant When his gladness comes to pass
The Wicked Messenger;10;John Wesley Harding;1967;There was a wicked messenger From Eli he did come With a mind that multiplied the smallest matter When questioned who had sent for him He answered with his thumb For his tongue it could not speak, but only flatter He stayed behind the assembly hall It was there he made his bed Oftentimes he could be seen returning Until one day he just appeared With a note in his hand which read “The soles of my feet, I swear they're burning” Oh, the leaves began to falling And the seas began to part And the people that confronted him were many And he was told but these few words Which opened up his heart “If ye cannot bring good news, then don't bring any”
Down Along the Cove;11;John Wesley Harding;1967;"Down along the cove I spied my true love comin' my way Down along the cove I spied my true love comin' my way I say, “Lord, have mercy, mama It sure is good to see ya' comin' today"" Down along the cove I spied my little bundle of joy Down along the cove I spied my little bundle of joy She said, “Lord, have mercy, honey I'm so glad you're my boy!” Down along the cove We walked together hand in hand Down along the cove We walked together hand in hand Ev'rybody watchin' us a'go by Knows we're in love, yes, and they understand"
I'll Be Your Baby Tonight;12;John Wesley Harding;1967;Close your eyes, close the door Ya' don't have to worry anymore I'll be your baby tonight Shut the light, shut the shade Ya' don't have to be afraid I'll be your baby tonight Well, that mockingbird's gonna sail away We're gonna forget it That big, fat moon is gonna shine like a spoon But we're gonna let it You won't regret it Kick your shoes off, do not fear Bring that bottle over here I'll be your baby tonight
Girl from the North Country (Duet) (Ft. Johnny Cash);1;Nashville Skyline;1969;If you're travelin' to the north country fair Where the winds hit heavy on the borderline Remember me to one who lives there For she once was a true love of mine See for me that her hair's hangin' down It curls and falls all down her breast See for me that her hair's hangin' down That's the way I remember her best If you go when the snowflakes fall When the rivers freeze and summer ends Please see for me if she's wearing a coat so warm To keep her from the howling winds If you're travelin' in the north country fair Where the winds hit heavy on the borderline Please say hello (Remember me) to the one who lives there For she once was a true love of mine If you're travelin' in the north country fair Where the winds hit heavy on the borderline Remember me to the one who lives there For she once was a true love of mine A true love of mine A true love of mine A true love of mine A true love of mine A true love of mine A true love of mine She once was a true love of mine
Nashville Skyline Rag;2;Nashville Skyline;1969;Instrumental
To Be Alone with You;3;Nashville Skyline;1969;Is it rolling, Bob? To be alone with you Just you and me Now won't you tell me true Ain't that the way it oughta be? To hold each other tight The whole night through Everything is always right When I'm alone with you To be alone with you At the close of the day With only you in view While evening slips away It only goes to show That while life's pleasures be few The only one I know Is when I'm alone with you They say that nighttime is the right time To be with the one you love Too many thoughts get in the way in the day But you're always what I'm thinkin' of I wish the night were here Bringin' me all of your charms When only you are near To hold me in your arms I'll always thank the Lord When my workin' day is through I get my sweet reward To be alone with you
I Threw It All Away;4;Nashville Skyline;1969;I once held her In my arms She said she would Always stay But I was cruel I treated her like a fool I threw it all away Once I had mountains In the palm of my hand And rivers that ran through Every day But I must have been mad I never knew what I had Until I threw it all away Love is all there is It makes the world go 'round Love and only love It can't be denied No matter what you think about it You just won't be able to do without it Take a tip from one who's tried So if you find someone Who gives you all of her love Take it to your heart, don't let it stray For one thing for certain You will surely be a-hurtin' If you throw it all away If you throw it all away
Peggy Day;5;Nashville Skyline;1969;Peggy Day stole my poor heart away By golly, what more can I say? Love to spend the night with Peggy Day Peggy Night makes my future look so bright Man, that girl is out of sight Love to spend the day with Peggy Night Well, ya' know that even before I learned her name Ya' know I loved her just the same And I tell 'em all, wherever I may go Just so they'll know, that she my little lady And I love her so Peggy Day stole my poor heart away Turned my skies to blue from gray Love to spend the night with Peggy Day NA Peggy Day stole my poor heart away By golly, what more can I say? Love to spend the night with Peggy Day Love to spend the night with Peggy Day
Lay Lady Lay;6;Nashville Skyline;1969;Lay, lady, lay Lay across my big brass bed Lay, lady, lay Lay across my big brass bed Whatever colors you have in your mind I'll show them to you and you'll see them shine Lay, lady, lay Lay across my big brass bed Stay, lady, stay Stay with your man awhile Until the break of day, let me see ya' make him smile His clothes are dirty but his, his hands are clean And you're the best thing that he's ever seen Stay, lady, stay Stay with your man awhile Why wait any longer for the world to begin You can have your cake and eat it too Why wait any longer for the one you love When he's standing in front of you Lay, lady, lay Lay across my big brass bed Stay, lady, stay Stay while the night is still ahead I long to see you in the morning light I long to reach for you in the night Stay, lady, stay Stay while the night is still ahead
One More Night;7;Nashville Skyline;1969;One more night, the stars are in sight But tonight I'm as lonesome as can be Oh, the moon is shinin' bright Lighting everything in sight But tonight no light will shine on me Oh, it's shameful and it's sad I lost the only pal I had I just could not be what she wanted me to be I will turn my head up high To that dark and rollin' sky For tonight no light will shine on me I was so mistaken when I thought that she'd be true I had no idea what a woman in love would do One more night, I will wait for the light While the wind blows high above the tree Oh, I miss my darlin' so I didn't mean to see her go But tonight no light will shine on me One more night, the moon is shinin' bright And the wind blows high above the tree Oh, I miss that woman so I didn't mean to see her go But tonight no light will shine on me
Tell Me That It Isn't True;8;Nashville Skyline;1969;I have heard rumors all over town They say that you're planning to put me down All I'd like you to do Is tell me that it isn't true They say that you've been seen with some other man That he's tall, dark and handsome, and you're holdin' his hand Darling, I'm a'countin' on you Tell me that it isn't true To know that some other man is holdin' you tight It hurts me all over, it doesn't seem right All of these awful things that I have heard I don't wanna believe them, all I want is your word So darlin', you better come through Tell me that it isn't true All of these awful things that I have heard I don't want to believe them, all I want is your word So darlin', I'm countin' on you Tell me that it isn't true
Country Pie;9;Nashville Skyline;1969;Just like old Saxophone Joe When he's got the hogshead up on his toe Oh me, oh my Love that country pie Listen to the fiddler play When he's playin' 'til the break of day Oh me, oh my Love that country pie Raspberry, strawberry, lemon, and lime What do I care? Blueberry, apple, cherry, pumpkin, and plum Call me for dinner, honey, I'll be there Saddle me up my big white goose Tie me on her and turn her loose Oh me, oh my Love that country pie I don't need much, that ain't no lie Ain't runnin' any race Give to me my country pie I won't throw it up in anybody's face Shake me up that old peach tree A'Little Jack Horner got nothin' on me Oh me, oh my Love that country pie
Tonight I'll Be Staying Here with You;10;Nashville Skyline;1969;Throw my ticket out the window Throw my suitcase out there, too Throw my troubles out the door I don't need them anymore 'Cause tonight I'll be staying here with you I should have left this town this morning But it was more than I could do Oh, your love comes on so strong And I've waited all day long For tonight when I'll be staying here with you Is it really any wonder The love that a stranger might receive? You cast your spell and I went under I find it so difficult to leave I can hear that whistle blowin' I see that stationmaster, too If there's a poor boy on the street Then let him have my seat 'Cause tonight I'll be staying here with you Throw my ticket out the window Throw my suitcase out there, too Throw my troubles out the door I don't need them anymore 'Cause tonight I'll be staying here with you
All the Tired Horses;1;Self Portrait;1970;All the tired horses in the sun How'm I supposed to get any riding done? Hmm
If Not for You;1;"New Morning	";1970;If not for you Babe, I couldn't find the door Couldn't even see the floor I'd be sad and blue If not for you If not for you Babe, I'd lay awake all night Wait for the morning light To shine in through But it would not be new If not for you If not for you, my sky would fall Rain would gather too Without your love, I'd be nowhere at all I'd be lost if not for you And you know it's true If not for you, my sky would fall Rain would gather too Without your love, I'd be nowhere at all Oh, what would I do If not for you If not for you Winter would have no spring Couldn't hear the robin sing I just wouldn't have a clue Anyway it wouldn't ring true If not for you If not for you If not for you If not for you If not for you
Alberta #1;2;Self Portrait;1970;Alberta let your hair hang low Alberta let your hair hang low I'll give you more gold Than your apron can hold If you'd only let your hair hang low Alberta what's on your mind Alberta what's on your mind You keep me worried and bothered All of the time Alberta what's on your mind Alberta don't you treat me unkind Alberta don't you treat me unkind Oh my heart is so sad Cause I want you so bad Alberta don't you treat me unkind Alberta let your hair hang low Alberta let your hair hang low I'll give you more gold Than your apron can hold If you'll only let your hair hang low
Day of the Locusts;2;"New Morning	";1970;Oh, the benches were stained with tears and perspiration The birdies were flying from tree to tree There was little to say, there was no conversation As I stepped to the stage to pick up my degree And the locusts sang off in the distance Yeah, the locusts sang such a sweet melody Oh, the locusts sang off in the distance Yeah, the locusts sang and they were singing for me I glanced into the chamber where the judges were talking Darkness was everywhere, it smelled like a tomb I was ready to leave, I was already walking But the next time I looked there was light in the room And the locusts sang, yeah, it give me a chill Oh, the locusts sang such a sweet melody Oh, the locusts sang their high whining trill Yeah, the locusts sang and they were singing for me Outside of the gates the trucks were unloading The weather was hot, a-nearly 90 degrees The man standing next to me, his head was exploding Well, I was praying the pieces wouldn't fall on me Yeah, the locusts sang off in the distance Yeah, the locusts sang such a sweet melody Oh, the locusts sang off in the distance And the locusts sang and they were singing for me I put down my robe, picked up my diploma Took hold of my sweetheart and away we did drive Straight for the hills, the black hills of Dakota Sure was glad to get out of there alive And the locusts sang, well, it give me a chill Yeah, the locusts sang such a sweet melody And the locusts sang with a high whining trill Yeah, the locusts sang and they was singing for me Singing for me, well, singing for me
I Forgot More Than You'll Ever Know;3;Self Portrait;1970;I forgot more than you'll ever know about her You think you know the smile on her lips The thrill and the touch of her fingertips But I forgot more than you'll ever know about her You think you'll find heaven of bliss In each caress, in each tender kiss But I forgot more than you'll ever know about her You stole her love from me one day You didn't care how it hurt me But you can never steal away memories of what used to be You think she's yours, to have and to hold Someday you'll learn, when her love grows cold But I forgot more than you'll ever know about her
Time Passes Slowly;3;"New Morning	";1970;Time passes slowly up here in the mountains We sit beside bridges and walk beside fountains Catch the wild fishes that float through the stream Time passes slowly when you're lost in a dream Once I had a sweetheart, she was fine and good-looking We sat in her kitchen while her mama was cooking Stared out the window to the stars high above Time passes slowly when you're searching for love Ain't no reason to go in a wagon to town Ain't no reason to go to the fair Ain't no reason to go up, ain't no reason to go down Ain't no reason to go anywhere Time passes slowly up here in the daylight We stare straight ahead and try so hard to stay right Like the red rose of summer that blooms in the day Time passes slowly and fades away
Days of 49;4;Self Portrait;1970;"I'm old Tom Moore from the bummer's shore in that good old golden days They call me a bummer and a ginsot too, but what cares I for praise ? I wander around from town to town just like a roving sign And all the people say, ""There goes Tom Moore, in the days of '49"" In the days of old, in the days of gold How oft'times I repine for the days of old When we dug up the gold, in the days of '49 My comrades they all loved me well, a jolly saucy crew A few hard cases I will recall though they all were brave and true Whatever the pitch they never would flinch, they never would fret or whine Like good old bricks they stood the kicks in the days of '49 There was New York Jake, the butcher boy, he was always getting tight And every time that he'd get full he was spoiling for a fight But Jake rampaged against a knife in the hands of old Bob Stein And over Jake they held a wake in the days of '49 There was Poker Bill, one of the boys who was always in a game Whether he lost or whether he won, to him it was always the same He would ante up and draw his cards and he would you go a hatful blind In the game with death Bill lost his breath, in the days of '49 There was Ragshag Bill from Buffalo, I never will forget He would roar all day and he'd roar all night and I guess he's roaring yet One day he fell in a prospect hole, in a roaring bad design And in that hole he roared out his soul, in the days of '49 Of the comrades all that I've had, there's none that's left to boast And I'm left alone in my misery like some poor wandering ghost And I pass by from town to town, they call me a rambling sign ""There goes Tom Moore, a bummer shore in the days of '49 """
Went to See the Gypsy;4;"New Morning	";1970;Went to see the gypsy Staying in a big hotel He smiled when he saw me coming And he said, “Well, well, well” His room was dark and crowded Lights were low and dim “How are you?” he said to me I said it back to him I went down to the lobby To make a small call out A pretty dancing girl was there And she began to shout “Go on back to see the gypsy He can move you from the rear Drive you from your fear Bring you through the mirror He did it in Las Vegas And he can do it here” Outside the lights were shining On the river of tears I watched them from the distance With music in my ears I went back to see the gypsy It was nearly early dawn The gypsy's door was open wide But the gypsy was gone And that pretty dancing girl She could not be found So I watched that sun come rising From that little Minnesota town
Early Mornin' Rain;5;Self Portrait;1970;In the early morning rain with a dollar in my hand And an aching in my heart and my pockets full of sand I'm a long way from home and I miss my loved one so In the early morning rain with nowhere to go Cut on runway number nine, big 707 set to go I'm stuck here on the ground, where the cold winds blow The liquor tasted good and the women all were fast There she goes, my friend, she's rolling down at last Hear the mighty engines roar, see the silver bird on high She's away and westward bound, far above the clouds she'll fly Where the morning rain don't fall and the sun always shines She'll be flying over my home in about three hours time This old airport's got me down, it's no earthly good to me Because I'm stuck here on the ground, cold and drunks as I might be You can't hop a jet plane like you can a freight train So I'd best be on my way in the early morning rain
Winterlude;5;"New Morning	";1970;Winterlude, Winterlude, oh darling Winterlude by the road tonight Tonight there will be no quarreling Everything is gonna be all right Oh, I see by the angel beside me That love has a reason to shine You're the one I adore, come over here and give me more Then Winterlude, this dude thinks you're fine Winterlude, Winterlude, my little apple Winterlude by the corn in the field Winterlude, let's go down to the chapel Then come back and cook up a meal Well, come out when the skating rink glistens By the sun, near the old crossroads sign The snow is so cold, but our love can be bold Winterlude, don't be rude, please be mine Winterlude, Winterlude, my little daisy Winterlude by the telephone wire Winterlude, it's making me lazy Come on, sit by the logs in the fire The moonlight reflects from the window Where the snowflakes, they cover the sand Come out tonight, everything will be tight Winterlude, this dude thinks you're grand
If Dogs Run Free;6;"New Morning	";1970;If dogs run free, then why not we Across the swooping plain? My ears hear a symphony Of two mules, trains and rain The best is always yet to come That's what they explain to me Just do your thing, you'll be king If dogs run free If dogs run free, why not me Across the swamp of time? My mind weaves a symphony And tapestry of rhyme Oh, winds which rush my tale to thee So it may flow and be To each his own, it's all unknown If dogs run free If dogs run free, then what must be Must be, and that is all True love can make a blade of grass Stand up straight and tall In harmony with the cosmic sea True love needs no company It can cure the soul, it can make it whole If dogs run free
In Search of Little Sadie;6;Self Portrait;1970;"Went out last night just to take a little round I met my little Sadie and I brought her down I ran right home and I went to bed With a .44 smokeless under my head I began to think what a deed I done I grabbed my head and I began to run I made a good run but I run too slow They overtook me down in Jericho Standin' on the corner as he's ringin' my bell Up stepped the sheriff of Thomasville He says, ""Young man is your name Brown? Remember you blowed little Sadie down?"" ""Oh, yes sir my name is Lee I murdered little Sadie in first degree"" ""First degree and second degree If you got any papers, will you serve them to me."" Well they took me downtown and they dressed me in black They put me on a train and they sent me back I had no one for to go my bail They crammed me back into the county jail Oh yes they did Now the judge and the jury they took their stand The judge had the papers in his right hand Forty-one days, forty-one nights Forty-one years with the ball and stripes, oh no Went out last night to take a little round I met my little Sadie and I blowed her down I run right home and I went to bed A .44 smokeless under my head"
Let It Be Me;7;Self Portrait;1970;I bless the day I found you I want my arms around you And so I beg you: Let it be me Don't take this heaven from one If you must cling to someone Now and forever, let it be me Each time we meet, love I find complete love Without your sweet love, what would life be ? So never leave me lonely Tell me that you love me only And say you'll always let it be me
New Morning;7;"New Morning	";1970;Can't you hear that rooster crowing? Rabbit running down across the road Underneath the bridge where the water flowed through So happy just to see you smile Underneath the sky of blue On this new morning, new morning On this new morning with you Can't you hear that motor turning? Automobile coming into style Coming down the road for a country mile or two So happy just to see you smile Underneath the sky of blue On this new morning, new morning On this new morning with you The night passed away so quickly It always does when you're with me Can't you feel that sun a-shining? Ground hog running by the country stream This must be the day that all of my dreams come true So happy just to be alive Underneath the sky of blue On this new morning, new morning On this new morning with you So happy just to be alive Underneath the sky of blue On this new morning, new morning On this new morning with you New morning
Little Sadie;8;Self Portrait;1970;"Went out last night to take a little round I met my Little Sadie and I brought her down I ran right home and I went to bed With a forty-four smokeless under my head I began to think what a deed I'd done I grabbed my hat and I began to run I made a good run but I ran too slow They overtook me down in Jericho Standing on a corner a ringing' my bell Up stepped the sheriff from Thomasville He said ""Young man is your name Brown Remember you blowed Sadie down?"" ""Oh yes sir, my name is Lee I murdered Little Sadie in the first degree First degree and second degree If you've got any papers will you serve them to me?"" Well they took me down town and they dressed me in black They put me on a train and they sent me back I had no one to go my bail They crammed me back into the county jail Oh, yes they did The judge and the jury they took their stand The judge had the papers in his right hand Forty-one days, forty-one nights Forty-one years to wear the ball and the stripes Oh, no! Went out last night to take a little round I met Little Sadie and I blowed her down I ran right home and I went to bed A forty-four smokeless under my head"
Sign on the Window;8;"New Morning	";1970;Sign on the window says “Lonely” Sign on the door said “No company allowed” Sign on the street says “Y' don't own me” Sign on a porch says “three's a crowd” Sign on a porch says “three's a crowd” Her and her boyfriend went to California Her and her boyfriend done changed their tune My best friend said, “Now didn't I warn you? Brighton girls are like the moon Brighton girls are like the moon” Looks like a-nothing but rain Sure gonna be wet tonight on Main Street Hope that it don't sleet Build me a cabin in Utah Marry me a wife, catch rainbow trout Have a bunch of kids who call me “Pa” That must be what it's all about That must be what it's all about
One More Weekend;9;"New Morning	";1970;Slipping and sliding like a weasel on the run I'm looking good to see you, yeah, and we can have some fun One more weekend, one more weekend with you One more weekend, one more weekend'll do Come on down to my ship, honey, ride on deck We'll fly over the ocean just like you suspect One more weekend, one more weekend with you One more weekend, one more weekend'll do We'll fly the night away Hang out the whole next day Things will be okay You wait and see We'll go someplace unknown Leave all the children home Honey, why not go alone Just you and me Coming and going like a rabbit in the wood I'm happy just to see you, yeah, looking so good One more weekend, one more weekend with you One more weekend, one more weekend'll do (yes, you will!) Like a needle in a haystack, I'm gonna find you yet You're the sweetest gone mama that this boy's ever gonna get One more weekend, one more weekend with you One more weekend, one more weekend'll do
Woogie Boogie;9;Self Portrait;1970;Instrumental
Belle Isle;10;Self Portrait;1970;"One evening for pleasure I rambled to view The fair fields all alone Down by the banks of Loch Eiron Where beauty and pleasure were known I spied a fair maid at her labour Which caused me to stay for a while And I thought of a goddess to beauty Bloomin' bright star of Bright Isle I humbled myself to her beauty ""Fair maiden, where do you belong? Are you from heaven descended Abiding in Cupid's fair throne?"" ""Young man, I will tell you a secret It's true I'm a maid that is poor And to part from my vows and my promise Is more than my heart can endure Therefore I remain at my service And go through all my hardship and toil And wait for the lad that has left me All alone on the banks of Belle Isle."" ""Young maiden I wish not to banter It's true I come here in disguise I came here to fulfill our last promise And hope to give you a surprise I've known you're a maid I love dearly And you've been in my heart all the while For me there is no other damsel Than my blooming bright star of Belle Isle."""
The Man in Me;10;"New Morning	";1970;NA The man in me will do nearly any task And as for compensation, there's little he would ask Take a woman like you To get through to the man in me Storm clouds are raging all around my door I think to myself I might not take it anymore Take a woman like your kind To find the man in me But, oh, what a wonderful feeling Just to know that you are near Sets my heart a-reeling From my toes up to my ears The man in me will hide sometimes to keep from bein' seen But that's just because he doesn't want to turn into some machine Took a woman like you To get through to the man in me
Living the Blues;11;Self Portrait;1970;Since you've been gone I've been walking around With my head bowed down to my shoes I've been living the blues Ev'ry night without you I don't have to go far (ah-ah) To know where you are (ah-ah) Strangers all give me the news I've been living the blues (living the blues) Ev'ry night without you I think that it's best I soon get some rest And forget my pride But I can't deny This feeling that I Carry for you deep down inside If you see me this way (ah-ah) You'd come back and you'd stay (ah-ah) Oh, how could you refuse I've been living the blues (living the blues) Ev'ry night without you NA I think that it's best I soon get some rest And forget my pride But I can't deny This feeling that I Carry for you deep down inside If you see me this way You'd come back and you'd stay Oh, how could you refuse I've been living the blues (living the blues) Ev'ry night without you I've been living the blues (living the blues) Ev'ry night without you I've been living the blues (living the blues) Ev'ry night without you
Three Angels;11;"New Morning	";1970;Three angels up above the street Each one playing a horn Dressed in green robes with wings that stick out They've been there since Christmas morn The wildest cat from Montana passes by in a flash Then a lady in a bright orange dress One U-Haul trailer, a truck with no wheels The Tenth Avenue bus going west The dogs and pigeons fly up and they flutter around A man with a badge skips by Three fellas crawling on their way back to work Nobody stops to ask why The bakery truck stops outside of that fence Where the angels stand high on their poles The driver peeks out, trying to find one face In this concrete world full of souls The angels play on their horns all day The whole earth in progression seems to pass by But does anyone hear the music they play Does anyone even try?
Father of Night;12;"New Morning	";1970;Father of night, Father of day Father, who taketh the darkness away Father, who teacheth the bird to fly Builder of rainbows up in the sky Father of loneliness and pain Father of love and Father of rain Father of day, Father of night Father of black, Father of white Father, who build the mountain so high Who shapeth the cloud up in the sky Father of time, Father of dreams Father, who turneth the rivers and streams Father of grain, Father of wheat Father of cold and Father of heat Father of air and Father of trees Who dwells in our hearts and our memories Father of minutes, Father of days Father of whom we most solemnly praise
Like a Rolling Stone (Live);12;Self Portrait;1970;"Once upon a time you dressed so fine You threw the bums a dime in your prime Didn't you? People'd call, say: ""Beware, doll, you're bound to fall"" You thought they were all Kiddin' you You used to laugh about Everybody that was hanging out Now you don't talk so loud Now you don't seem so proud About having to be scrounging For your next meal How does it feel? How does it feel To be without a home Like a complete unknown Like a rolling stone? Oh, you've gone to the finest school, alright, miss lonely But you know you only used to get Juiced in it Nobody's ever taught you how to live out on the street And now you're gonna have to get Used to it You say you'd never compromise With the mystery tramp, but now you realize He's not selling any alibis As you stare into the vacuum of his eyes And say: ""Do you want to Make a deal?"" How does it feel? How does it feel To be on your own With no direction home A complete unknown Like a rolling stone? Oh, you never turned around to see the frowns On the jugglers and the clowns when they all did Tricks for you You never understood that it ain't no good You shouldn't let other people get your Kicks for you You used to ride on the chrome horse with your diplomat Who carried on his shoulder a siamese cat Ain't it hard when you discover that He really wasn't where it's at After he took from you everything He could steal? How does it feel? How does it feel To hang on your home With no direction home Like a complete unknown Like a rolling stone? Princess on the steeple and all the pretty people They're all drinking thinking that they Got it made Exchanging all their precious gifts But you'd better take your diamond ring You'd better pawn it, baby You used to be so amused At Napoleon in rags and the language that he used Go to him now, he calls you, you can't refuse When you ain't got nothing, you got nothing to lose You're invisible now, you got no secrets To conceal How does it feel? How does it feel To be on your own With no direction home Like a complete unknown Like a rolling stone?"
Copper Kettle (The Pale Moonlight);13;Self Portrait;1970;Get you a copper kettle, get you a copper coil Fill it with new made corn mash and never more you'll toil You'll just lay there by the juniper while the moon is bright Watch them just a-filling in the pale moonlight Build you a fire with hickory, hickory, ash and oak Don't use no green or rotten wood, they'll get you by the smoke You'll just lay there by the juniper while the moon is bright Watch them just a-filling in the pale moonlight My daddy he made whiskey, my granddaddy he did too We ain't paid no whiskey tax since 1792 You'll just lay there by the juniper while the moon is bright Watch them just a-filling in the pale moonlight
Gotta Travel On;14;Self Portrait;1970;"Done laid around, done stayed around This old town too long Summer's almost gone, winter's coming on Done laid around, done stayed around This old town too long And it seems like I've got to travel on And it seems like I've got to travel on Papa writes to Johnny, ""Johnny, can't you come home ? Johnny, can't you come home ? Johnny, can't you come home ?"" Papa writes to Johnny, ""Johnny, can't you come home ?"" Johnny's been out on the road too long Done laid around, done stayed around This old town too long And it seems like I've got to travel on And it seems like I've got to travel on That silly wind will soon begin and I'll be on my way Going home to stay, going home to stay That silly wind will soon begin and I'll be on my way And I feel like I just want to travel on Done laid around, done stayed around This old town too long And it seems like I've got to travel on And it seems like I've got to travel on There's a lonesome freight at 6.08 coming through the town I'll be homward bound, I'll be homeward bound There's a lonesome freight at 6.08 coming through the town And I feel like I just want to travel on Done laid around, done stayed around This old town too long And it seems like I've got to travel on And it seems like I've got to travel on"
Blue Moon;15;Self Portrait;1970;"Blue moon, you saw me standing alone Without a dream in my heart, without a love of my own Blue moon, you knew just what I was there for You heard me saying a prayer for someone I really could care for And suddenly there appeared before me the only one my arms could ever hold I heard someone whisper, ""Please, adore me"" And when I looked my moon had turned to gold Blue moon, now I'm no longer alone Without a dream in my heart, without a love of my own Without a love of my own"
The Boxer;16;Self Portrait;1970;"I'm just a poor boy Though my story's seldom told I have squadered my resistance For a pocketful of numbles Such are promises, all lies and jest Still a man hears what he wants to hear And disregards the rest When I left my home and family I was no more than a boy In the company of strangers In the quiet of the railway station Running scared, laying low Seeking out the poorer quarters Where the ragged people go Looking for the places only they would know Asking only workman's wages I come looking for a job But I get no offers Just a come-on from the whores on Seventh Avenue I do declare There were times when I was so lonesome I took some comfort there Then I'm laying out my winter clothes And wishing I was gone, going home Where the New York City winters aren't bleeding me Leading me Going home In the clearing stands a boxer And a fighter by his trade And he carries the reminders Of every glove that laid him down And cut him till he cried out In his anger and his shame ""I am leaving, I am leaving"" But the fighter still remains"
